,Erk,Akt,PKA,Mek,Jnk,PKC,Raf,P38,PIP3,Plcg
Erk,0.0,0,0.28952530839987395,0.34755980462055,0.0,0.12521864130315802,0.0,-0.0647598097676567,0,0.0
Akt,0.501695501859802,0,-0.518488338901474,0.1515356031878,0.0,-0.241113581542035,0.0,0.118146528132574,0,0.0
PKA,0.0,0,0.0,-0.546835698970641,-0.5154362732533111,0.0,-0.5390655057547511,-0.30944220965676394,0,0.0
Mek,0.0,0,0.0,0.0,0.0,-0.12603906687671101,0.31513008104195,0.0633445033819931,0,0.0
Jnk,0.0,0,0.0,0.0,0.0,0.10791276117095698,0.0,0.12578384992719,0,0.0
PKC,0.0,0,0.0,0.0,0.0,0.0,-0.355768104965644,-0.20562399210662197,0,0.0
Raf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0316468321070202,0,0.0
P38,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
PIP3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.06291338496686401
Plcg,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
